Name,reference body type,base skin texture (detail),adam (hip),devil girl (upper arm),moth (breast),rose (hand),wings (back),womb (abdomen),under construction,note,ID,Name (Japanese)
Daily Biker,(Unsupported),(Unknown),,,,,,,✓,,CH_P_EVE_02_Body,デイリーバイカー
FourSeconds Biker,(Unsupported),(Unknown),,,,,,,✓,,CH_P_EVE_02_typeB,"""FourSeconds""バイカー"
Daily Denim,(Unsupported),(Unknown),,,,,,,✓,,CH_P_EVE_04_Body,デイリーデニム
FourSeconds Denim,(Unsupported),(Unknown),,,,,,,✓,,CH_P_EVE_04_typeB,"""FourSeconds""デニム"
Daily Sailor (Old Version?),V2,V02_F1,✓,✓,✓,✓,✓,✓,,,CH_P_EVE_05_Body,デイリーセーラー(旧バージョン？)
Daily Sailor,V2,V02_F1,✓,✓,✓,✓,✓,✓,,,CH_P_EVE_05HN,デイリーセーラー
Comfort Sailor (Old Version?),V2,V02_F1,✓,✓,✓,✓,✓,✓,,,CH_P_EVE_05_typeB,コンフォートセーラー(旧バージョン？)
Comfort Sailor,V2,V02_F1,✓,✓,✓,✓,✓,✓,,,CH_P_EVE_05_typeBHN,コンフォートセーラー
Black Wave (Old Version?),V1,MI_CH_P_EVE_BB_V01,,,✓,,,,✓,,CH_P_EVE_06_Body,ブラックウェーブ(旧バージョン？)
Black Wave,V1,MI_CH_P_EVE_BB_V01,,,✓,,,,✓,,CH_P_EVE_06HN,ブラックウェーブ
Wild Wave (Old Version?),V1,MI_CH_P_EVE_BB_V01,,,✓,,,,✓,,CH_P_EVE_06_typeB,ワイルドウェーブ(旧バージョン？)
Wild Wave,V1,MI_CH_P_EVE_BB_V01,,,✓,,,,✓,,CH_P_EVE_06_typeBHN,ワイルドウェーブ
Punk Top,V2,V02_F1,✓,✓,✓,✓,✓,✓,,,CH_P_EVE_07,パンクトップス
Punk Style,V2,V02_F1,✓,✓,✓,✓,✓,✓,,,CH_P_EVE_07_TypeB,パンクスタイル
Planet Diving Suit (6th) V2,V1,BaseBody,✓,✓,✓,✓,✓,✓,,,CH_P_EVE_08,プラネットダイブスーツ（第6）V2
Planet Diving Suit (6th),V1,BaseBody,✓,✓,✓,✓,✓,✓,,,CH_P_EVE_08_TypeB_OrangeRed,プラネットダイブスーツ（第6）
Planet Diving Suit (6th) V3,V1,BaseBody,✓,✓,✓,✓,✓,✓,,,CH_P_EVE_08_TypeC,プラネットダイブスーツ（第6）V3
Planet Diving Suit (7th),EVE_09,CH_P_EVE_09_Skin,✓,✓,✓,✓,✓,✓,,,CH_P_EVE_09,プラネットダイブスーツ（第7）
Planet Diving Suit (7th) V2,EVE_09,CH_P_EVE_09_Skin,✓,✓,✓,✓,✓,✓,,,CH_P_EVE_09_TypeB,プラネットダイブスーツ（第7）V2
Planet Diving Suit (7th) V3,EVE_09,CH_P_EVE_09_Skin,✓,✓,✓,✓,✓,✓,,,CH_P_EVE_09_TypeC,プラネットダイブスーツ（第7）V3
Planet Diving Protection Suit (7th),V2,V02_F1,✓,✓,✓,✓,✓,✓,,,CH_P_EVE_09_V2,プラネットダイブ防護スーツ（第7）
Planet Diving Protection Suit (7th) V2,V2,V02_F1,✓,✓,✓,✓,✓,✓,,,CH_P_EVE_09_V2_TypeB,プラネットダイブ防護スーツ（第7）V2
Planet Diving Suit (Captain),(Unsupported),(None),,,,,,,,,CH_P_EVE_10,プラネットダイブスーツ（隊長）
Raven Suit,V2,V02_F1,✓,✓,✓,✓,✓,✓,,,CH_P_EVE_11,レイブンスーツ
Raven Suit ?,(Unsupported),Raven_BaseBody,,,,,,,✓,,CH_P_EVE_11_1,レイブンスーツ(with Hair)
Planet Diving Suit (3rd),V2,V02_F2,✓,✓,✓,✓,✓,✓,,,CH_P_EVE_14,プラネットダイブスーツ（第3）
Prototype Planet Diving Suit,V2,V02_F2,✓,✓,✓,✓,✓,✓,,,CH_P_EVE_14_1,試作型プラネットダイブスーツ
